アプリ名,提供元,ジャンル,評価,評価数,価格,公開日,最終更新,検索語,復習,苦手抽出,解説,スキマ時間,出題条件選択,習熟度可視化,学習記録,ゲーム性,連続日数,模試,ランキング,通知,付箋,オフライン,解答時間,目標設定,キャラクター,用語集
赤ちゃんレースゲーム：子供向け恐竜くるま車運転シュミレーター,晓春 杜,Education,4.14473,76,0.0,2017-07-05,2024-04-10,保育士,,,,,,,,,,,,,,,,,,
ひらがな・カタカナ 文字ゲーム − はじめての日本語単語,LETS Limited,Education,4.14473,76,0.0,2015-01-20,2024-01-08,暗記,,,,,,,,○,,,,,○,,,,,
第二種冷凍機械責任者のたまご(過去問),ryosukE soejimA,Education,4.30667,75,0.0,2022-02-12,2022-02-12,危険物取扱者/施工管理技士/過去問/電気工事士,○,○,,,,,,,,,,,,,,,,
ウィズダム英和・和英辞典,MONOKAKIDO Co. Ltd.,Reference,4.18667,75,3000.0,2019-01-31,2022-03-16,TOEFL/英単語,,,○,,,,,,,,,,○,○,,,,○
13時間で覚えきる！百式英単語TE上級編【Total Eclipse】,YOSHIHIRO OTA,Education,4.65333,75,1100.0,2016-09-02,2016-09-02,英単語,○,○,○,,,,,○,,,○,,,,○,,,○
鍼灸師のたまご(過去問),ryosukE soejimA,Education,4.37838,74,0.0,2022-01-10,2022-01-10,過去問,○,,,,,,,,,,,,,,,,,
臨床検査技師のたまご(過去問),ryosukE soejimA,Education,4.28378,74,0.0,2022-01-10,2022-03-07,看護師 国家試験/過去問,○,○,,,,,,,,,,,,,,,,
デイビッド・セインの2単語英語でGO!,PLUG IN ARTS LIMITED LIABILITY CO.,Education,4.43836,73,600.0,2013-03-29,2023-07-09,TOEFL/英単語,,○,○,,,,,○,,,,,,,,,,
書き取り漢字練習【広告付き】,"NOWPRODUCTION CO.,LTD",Education,3.15068,73,0.0,2011-07-28,2026-06-22,漢字検定/漢検,,○,,○,,○,,,,,,,,,,,,○
建築設備士｜建築一般知識｜試験対策アプリ｜トレ速,"YUMELABO, K.K.",Education,4.33333,72,0.0,2025-08-14,2026-04-06,建築士,○,○,○,○,,○,,,,○,,,○,○,,,,
TOEIC® 試験対策 - Lingoland,Lingoland Company Limited,Education,4.875,72,0.0,2020-08-14,2026-07-29,TOEIC,○,,,○,,○,,,,○,,,○,○,,,,
拾光- 試験勉強・学習・仕事必須アプリ,红品 熊,Productivity,4.34722,72,0.0,2025-01-04,2026-07-07,スキマ時間 学習/公務員試験/勉強タイマー/学習記録,○,,,,,○,,,○,,,○,,,○,,,
zelvy-2級建築施工管理技士国家試験過去問演習アプリ,"MEDIFFUSION, INC.",Education,4.83099,71,0.0,2024-05-09,2024-10-23,建築士/施工管理技士/過去問,,○,○,,○,○,,,,,,,○,,,,,
子供用の車 幼儿宝宝互动益智拼图画画游戏,"Blovemedia Co., Ltd.",Education,4.3521,71,0.0,2018-11-07,2023-04-12,消防設備士,,,,,,,,,,,,,,,,,,
Speak Chinese: 中国語学習 - HSK,Quan Pham Minh,Education,4.66197,71,0.0,2023-12-23,2026-07-14,漢字検定,○,,○,,,,,,,○,,,,,,,,
Study Anki Flashcards - Cogni,COGNIFLY LTD,Education,4.71831,71,0.0,2024-11-21,2026-07-20,フラッシュカード,,,,,,,,,,,,,,,,,,
1000時間ヒアリングマラソン-英語/英会話のリスニング学習,ALC PRESS INC.,Education,4,71,0.0,2025-03-23,2026-06-15,スキマ時間 学習,,,,,,,,,,,○,,,,,○,,
外貨建保険資格対策,Takahide Kambe,Education,4.68571,70,800.0,2021-11-18,2021-11-20,資格,,,,,○,○,,,,,,,,,○,,,
GX問題集 ベーシック：GXの試験対策用勉強アプリ,"KIIRONOKAMO, K.K.",Education,4.15714,70,500.0,2024-07-30,2026-06-12,試験対策,,○,○,,,○,,,,,,,,○,,,,
英検®3級  試験対策問題集｜D-Learning,Eriya Okuno,Reference,3.13043,69,0.0,2020-12-31,2020-12-31,TOEIC/試験対策,○,○,○,○,○,,,,,○,,,○,,,,,
色彩検定学習アプリ 最新テキスト版,COLOR TACT BRANDING K.K.,Education,3.28986,69,600.0,2017-10-06,2023-06-28,QC検定,,,,○,,,,,,,,,,,,,,
小6で習う手書き漢字ドリル｜漢検5級相当,Junpei Shimotsu,Education,4.04348,69,0.0,2019-05-09,2026-05-18,漢検,○,,,,,,,○,,,,○,,,,,,
medu4 APP,medu4 Inc.,Education,1.86765,68,0.0,2021-03-18,2023-03-13,medu4 医師国家試験/国家資格/模試,,,,,,,,,,,,,,,,,,
おぼエル 化粧品検定,"PINTERNET, WORKS INC.",Education,4.36765,68,0.0,2026-04-30,2026-07-20,検定,○,○,○,○,○,○,,,○,,,,,,,,,
宅建 聴くだけアプリ,"SOCIAL NOTE CO., LTD.",Education,4.27941,68,0.0,2023-04-02,2026-05-01,宅建/宅建士,,,,,,,,,,,,,,,,,,
消防設備士4類 試験対策,RUMAHSAKU CORP.,Education,3.80882,68,800.0,2025-07-23,2026-05-31,消防設備士,,,,,,,,,,,,,,○,,,,
Pollykann｜映画・ドラマで英語が身につく,亮富 罗,Education,4.72058,68,0.0,2021-10-27,2026-07-14,TOEFL/英検,,,,,,,,,,,,,,,,,,
分類英単語 for the TOEIC®TEST,Minghua Hu,Education,4.07353,68,0.0,2014-08-29,2019-06-07,TOEIC,○,○,,,,○,,,,,,,○,,,,,○
漢字 2年生,Ohmori Takeru,Education,4.67647,68,0.0,2023-10-23,2026-07-26,漢検,,,,,,,,,,,,,,,,,,
文理AI診断ーアプリで簡単に文理適性を診断,"GOKAKU SUPPLI, LIMITED LIABILITY CO.",Education,4.43283,67,0.0,2021-04-21,2021-07-28,模試,,,,,,,,○,,,,,,,,,,
習熟！中学受験漢字,Motoki Takata,Education,4.50746,67,0.0,2023-06-30,2025-09-22,漢検,○,○,,,,○,,,,,,,,,○,,,
数学 と 数字 子供向け - 知育 赤ちゃんゲーム,JMH Developers OU,Education,4.25373,67,0.0,2023-03-21,2023-08-02,数検,,,,,,,,,,,,,,,,,,
新完全マスター単語 日本語能力試験N2 重要2200語,"INPERIA CO., LTD.",Education,3.91045,67,0.0,2018-01-31,2020-03-18,日本語能力試験,,,,,,,,,,,,,,,,,,
乗り物学習カード : 英語学習,Ta Chang Song,Education,3.91045,67,0.0,2021-02-10,2025-06-03,フラッシュカード,,,,,,,,,,,,,,,,,,
Musica Timer - 自由自在なイヤホンタイマー。テンキーで素早く入力できる秒単位タイマー。,Hiroyuki KATOH,Productivity,3.0597,67,0.0,2015-05-30,2015-11-18,勉強タイマー,,,,,,,○,,,,,○,,,○,,,
9x9カード,Kouichi INAFUKU,Education,3.73134,67,0.0,2015-10-10,2026-03-11,スキマ時間 学習,,,,,,,,,,,,,,,,,,
宅建 一問一答 2026 - 10年分の過去問で独学資格対策,Hayfield Inc.,Education,4.59091,66,0.0,2026-05-11,2026-07-27,スキマ時間 学習/宅建/建築士/資格 過去問,,○,,○,,○,,,,,,○,,,,,,
過去問OX『第二種衛生管理者』,Masaki Sugimoto,Education,4.75758,66,390.0,2023-02-23,2026-01-20,衛生管理者/過去問,○,○,○,○,,,,,,,,,,,,,,
ケアマネージャー（介護支援専門員）  資格試験対策,Eriya Okuno,Education,4.45455,66,0.0,2020-11-10,2020-11-10,ケアマネジャー/介護福祉士/国家資格/看護師 国家試験,○,○,○,○,○,,,,,○,,,○,,,,,
漢字検定３級「30日合格プログラム」 漢検３級,ReCorrect Inc.,Education,4.19697,66,0.0,2016-11-13,2023-12-05,QC検定/検定/漢字検定/漢検,,○,○,,○,○,○,,,○,,,,,,,,○
小站托福TPO-ETS正版真题TOEFL备考利器,"Shanghai Xingxun Education Technology Co., Ltd.",Education,4.74242,66,0.0,2024-11-18,2026-07-29,TOEFL,,,,,,,,,,,,,,,,,,
GENIUS動画英熟語1000,United Intelligence,Education,4.24242,66,1800.0,2015-04-22,2025-07-28,TOEFL/暗記/英単語,,,○,○,,,,,,○,○,,,,,,,
情報セキュリティマネジメント｜しっかり解説の資格試験問題集,Eriya Okuno,Education,4.01538,65,0.0,2020-10-20,2021-07-13,応用情報技術者/情報セキュリティマネジメント/資格/資格 過去問,○,○,○,○,○,,,,,○,,,○,,,,,
1級電気工事施工管理-第二次検定【過去問ドリル】,DRILL LAB,Education,4.56923,65,0.0,2024-03-27,2026-07-05,施工管理技士/検定/過去問,,○,,,,○,,,,,,,,,,,,
QC検定®4級 秒トレ：忘却曲線で覚える品質管理検定®4級,GINOAPPS LLC.,Education,4.75385,65,0.0,2026-01-11,2026-02-06,QC検定/検定,○,,,○,○,,,,,,,,,,,,,
社会福祉士 聴くだけアプリ（完全版）,"SOCIAL NOTE CO., LTD.",Education,4.52308,65,370.0,2021-09-11,2026-05-01,社会福祉士,,,,,,,,,,,,,,,,,,
測量 座標計算,youji okamura,Productivity,3.49231,65,300.0,2015-05-27,2023-02-28,測量士補,,,,,,,,,,,,,,,,,,
StudyRank - ゲーム感覚で勉強できるタイマーアプリ,Yusuke Uemura,Education,4.16923,65,0.0,2021-11-30,2026-07-29,勉強タイマー/学習記録,,,,,,,,,,,,,,,○,,,
ケアマネのたまご(過去問),ryosukE soejimA,Education,4.39063,64,0.0,2022-01-30,2022-01-31,ケアマネジャー/介護福祉士/社会福祉士/過去問,○,○,,,,,,,,,,,,,,,,
看護師国家試験 2025 +,"Chengdu Youzou Information Technology Co., Ltd",Education,4.17188,64,0.0,2022-02-17,2024-12-11,看護師 国家試験,,,,,,,,○,,○,,,,,,,,
運行管理者  資格試験対策｜D-Learning,Eriya Okuno,Education,4.01563,64,0.0,2020-11-09,2020-11-10,運行管理者,○,○,○,○,○,,,,,○,,,○,,,,,
TOEIC® 英単語マスター 5000　英熟語もできるアプリ,Masayuki Suda,Education,4.70313,64,0.0,2024-08-25,2026-06-14,TOEIC,○,○,,○,,○,,,,,,,,,,,,
素数スネークパニック,ikeda tomoki,Education,4.42188,64,0.0,2021-11-17,2025-11-19,数検,,,,,,,,○,,,○,,,,,,,
ひらがなとカタカナ。かなのフラッシュカード,Naveed Abbas,Book,4.03125,64,0.0,2014-11-06,2023-08-24,フラッシュカード,,,,,,,,,,,,,,,,,,
タテスタ宅建士,GUENOCROSS INC.,Education,2.66667,63,0.0,2023-11-06,2026-03-21,宅建/宅建士/資格 過去問,○,,○,○,,○,,,,,○,,,,,,,
辰已の肢別 [司法書士試験],"TATSUMI CO.,LTD.",Education,2.61905,63,0.0,2019-12-24,2025-10-27,司法書士/行政書士,,○,○,○,○,○,○,,,,,,,,,,,
SPI言語｜しっかり解説の資格試験問題集,Eriya Okuno,Education,3.98333,60,0.0,2020-10-05,2021-04-22,日本語能力試験/資格 過去問,○,○,○,○,○,○,,,,○,,,○,,,,,
愛玩動物看護師国家試験対策アプリ,Tatsuaki Mimura,Education,4.11864,59,0.0,2021-12-06,2026-07-28,看護師 国家試験/試験対策,,,○,○,,,,,,,,,,,,,,
ネットワークスペシャリスト試験  午前Ⅱ対策 ＜全問解説付＞,MITSURU TAMAKI,Education,4.54237,59,0.0,2023-10-15,2026-02-28,試験対策,,○,,○,○,○,,○,,,,,○,,,,,
勘定科目のたまご(簿記),ryosukE soejimA,Education,4.62711,59,0.0,2022-02-01,2022-02-01,日商簿記/簿記,○,○,,,,,,,,,,,,,,,,
英検®２級単語攻略,Kotake Studio LLC,Education,4.45763,59,0.0,2023-05-20,2025-08-23,英単語/英検,○,,,,,,,,,,,,,,,,,
パタプラ会議＆ファシリテーション,"ABLOGG, LLC",Education,4.69492,59,0.0,2024-07-03,2026-05-25,TOEIC,○,,,○,,,,,,,,○,,,,,,
GeoGebra空間図形,GeoGebra GmbH,Education,3.57627,59,0.0,2019-03-26,2026-07-27,MOS,,,,,,○,,,,,,,,,,,,
公務員試験 行政学アプリ,ayumu hieda,Education,4.66102,59,0.0,2019-01-31,2025-12-17,公務員試験,○,,○,,,,,,,,,,,,,,,
itofoo,"Itofoo Technology Co., Ltd.",Education,4.87931,58,0.0,2015-05-25,2026-06-26,保育士,,,,,,,,,,,,,,,,,,
チャレンジ[860点]for the TOEIC®TEST,Minghua Hu,Education,4.27586,58,0.0,2012-01-13,2026-06-11,TOEIC,,,,,,,,,,,,,,,,,,
TOEIC単語アプリ LOVEたん,takashi fukushima,Education,4.44827,58,0.0,2017-10-03,2021-06-26,TOEFL/TOEIC,,○,○,,,,,,,,,,,,,,,○
AB数学ライト,Nicolas Lehovetzki,Education,4.27586,58,0.0,2011-03-01,2026-05-16,数検,,,,,,,,,,,,,,,○,,,
世界遺産3級 試験対策 一問一答,cocoroom,Education,4.14035,57,0.0,2026-04-03,2026-07-23,試験対策,○,○,○,○,,,,,,○,,,○,○,,,,
教員採用試験対策【教職教養】- ランキングで競う効率学習,MITSURU TAMAKI,Education,4.49123,57,0.0,2026-04-01,2026-07-17,教員採用試験/試験対策,○,○,,○,○,,○,○,,,○,,○,,,,,
Cars & Trucks Game for Kids 3+,CLEVERBIT LTD,Education,4.26316,57,0.0,2014-04-29,2024-10-03,フラッシュカード,,,,,,,,,,,,,,,,,,
ノウン,NTT Advanced Technology Corporation,Education,2.21429,56,0.0,2017-05-25,2026-02-24,TOEFL/司法書士/漢検/行政書士,,○,○,,,○,,,,,,,,,,,,
ビノバ 中学 地理,"funspire, Inc.",Education,3.46429,56,0.0,2015-10-04,2024-03-26,暗記,,○,,○,,○,,,,,,,,,,,,
1級電気通信工事施工管理(1次試験)【過去問ドリル】,DRILL LAB,Education,4.72727,55,0.0,2025-08-01,2026-07-28,施工管理技士/過去問,,,,,,○,,,,○,,,,,,,,
臨床工学技士のたまご(過去問),ryosukE soejimA,Education,4.41818,55,0.0,2022-02-07,2022-03-07,看護師 国家試験/過去問,○,○,,,,,,,,,,,,,,,,
運行管理者 貨物,kenji kuroki,Education,4.38182,55,0.0,2026-01-06,2026-07-02,スキマ時間 学習/運行管理者,○,○,○,○,,,,,,,,,,,,,,
ABプレイヤー,Catalystwo Limited,Education,3.56364,55,0.0,2012-09-28,2026-05-07,TOEFL/TOEIC/英検,,○,,,,,,,,,,,,,,,,
メモメモ暗記帳Lite,Satoshi Horiguchi,Education,4,55,0.0,2011-04-16,2025-10-31,暗記/英単語,,,,,,,,,,,,,,,,,,
FILLBLANX｜暗記シート・赤シートいらずの穴埋めノート,MEGMINX Corporation,Education,4.45455,55,0.0,2025-04-07,2026-06-10,単語帳,,,,○,,,,,,,,,,,,,,
Snitchnotes: AI学習システム,Moss Studios Inc.,Education,4.70909,55,0.0,2025-11-18,2026-06-19,フラッシュカード,○,,,○,,,,,,,,,,,,,,
撮るだけ暗記カード｜AI搭載・資格試験対策アプリ,BasaApp Technologies,Education,4.24074,54,0.0,2025-03-23,2026-06-21,スキマ時間 学習/公務員試験/司法書士/行政書士,○,○,,○,,○,,,,,,○,,,,,,
Bluezone Ads - Chặn quảng cáo,Hai Nam Trinh,Reference,4.05556,54,0.0,2020-02-06,2020-08-11,QC検定,,,,,,,,,,,,,,,,,,
漢検クイズ 5~10級対策,GLODING INC.,Education,3.68519,54,0.0,2016-09-06,2025-12-19,漢字検定/漢検,,,,,,,,,,,,,,,,,,
大人の雑学・教養・一般常識,Shinsuke Yoshida,Reference,3.83333,54,0.0,2013-11-06,2026-05-06,公務員試験/漢字検定/漢検,,○,,,,,,,,,,,,,,,,
GeoGebraスイート,GeoGebra GmbH,Education,4.18519,54,0.0,2020-06-29,2026-07-27,MOS,,,,,,○,,,,,,,,,,,,
Onevoca - マイ単語帳,Minsu Kim,Education,4.61111,54,0.0,2017-06-02,2026-07-24,フラッシュカード,,,,,,,,,,,,○,,,,,,
管理業務主任者のたまご(過去問),ryosukE soejimA,Education,4.35849,53,0.0,2022-10-30,2022-10-30,マンション管理士/管理業務主任者/過去問,○,○,,,,,,,,,,,,,,,,
ケアマネ 聴くだけアプリ（完全版）,"SOCIAL NOTE CO., LTD.",Education,4.58491,53,370.0,2022-08-29,2026-05-01,ケアマネジャー,,,,,,,,,,,,,,,,,,
ネコの学校：幼稚園と保育園の子ども向け学習ゲーム,Squeakosaurus ug & co. kg,Education,4.32075,53,800.0,2018-10-25,2025-10-28,保育士,,,,,,,,,,,,,,,,,,
DMM英会話,DMM.com LLC,Education,3.79245,53,0.0,2024-01-08,2025-09-13,スキマ時間 学習,○,,,○,,,,,,,,,,,,,,
SPI非言語｜スキマ時間で合格率アップ!,Eriya Okuno,Education,3.58491,53,0.0,2020-10-05,2020-10-05,スキマ時間 学習,○,○,○,○,○,○,,,,○,,,○,,,,,
ガス主任技術者試験 解説付き過去問－暗記プラス,yuki matsuda,Education,3.98077,52,0.0,2025-01-21,2026-07-05,資格 過去問,○,○,,○,,,,,,,,,,,,,,
1級土木施工管理技士  資格試験対策｜D-Learning,Eriya Okuno,Reference,4.55769,52,0.0,2021-01-01,2021-07-13,国家資格/建築士/施工管理技士/試験対策,○,○,○,○,○,,,○,,○,,,○,,,,,
調理師｜しっかり解説の資格試験問題集,Eriya Okuno,Education,3.82353,51,0.0,2020-10-05,2020-10-05,国家資格/管理栄養士/資格/資格 過去問,○,○,○,○,○,○,,,,○,,,○,,,,,
わたしの選択問題(プラス) - 自分で作る選択式問題集,Mikiko Tamagawa,Education,4.62744,51,320.0,2016-09-16,2025-08-26,資格,,○,,,○,,,,,,,,,,,,,
2級土木施工管理(二次)-過去問ドリル,DRILL LAB,Education,4.33333,51,0.0,2024-08-22,2026-07-29,施工管理技士/過去問,,○,,,,○,,,,,,,,,,,,
【LITE版】 漢字検定準２級 「30日合格プログラム」,ReCorrect Inc.,Education,4.2549,51,0.0,2016-12-14,2023-12-25,QC検定/検定/漢字検定/漢検,,○,○,,○,,○,,,○,,,,,,,,○
2026年版 基本情報技術者試験問題集(全問解説),Yasuo Nishimura,Education,4.27451,51,0.0,2017-03-10,2026-02-03,基本情報技術者/応用情報技術者/情報セキュリティマネジメント,,,○,○,,○,,,,,,,,,,,,
N3 Kanji Quiz,PADITECH VIET NAM TECHNOLOGY JOINT STOCK COMPANY,Education,3.60784,51,0.0,2015-01-09,2019-05-24,日本語能力試験,,,,,,,,,,,,,,,,,,
講座受け放題の資格勉強アプリ,"ONLINE SCHOOL Co.,Ltd",Education,4.46,50,0.0,2017-03-14,2026-07-28,ITパスポート/ビジネス実務法務/危険物取扱者/旅行業務取扱管理者,○,,,○,,○,○,○,,,,,,,,,,
介護福祉士のたまご(過去問),ryosukE soejimA,Education,4.51999,50,0.0,2022-01-11,2022-01-25,介護福祉士/看護師 国家試験/過去問,○,,,,,,,,,,,,,,,,,
乙種第4類 丸暗記ノート,"OHMSHA, LTD.",Book,3.16,50,0.0,2016-05-27,2025-10-28,危険物取扱者,,,,,,,,,,,,,,,,,,
建築設備士過去問,Okada Takahiro,Education,2.74,50,0.0,2023-03-27,2026-05-25,建築士,,,○,,,,,,,,,,,○,,,,
チャレンジ英単語 for the TOEIC®TEST,Minghua Hu,Education,3.94,50,1000.0,2012-01-22,2026-06-12,英単語,○,,,,○,○,,,,○,,,,,○,,,
保育士｜しっかり解説の資格試験問題集,Eriya Okuno,Education,3.91837,49,0.0,2020-10-05,2020-10-05,保育士/国家資格/資格 過去問,○,○,○,○,○,○,,,,○,,,○,,,,,
u-CAT標準模試＋,"Asahipress Co., Ltd.",Education,1.44898,49,0.0,2012-09-20,2026-05-22,TOEIC/模試,,○,,○,,,,○,,,,,,,,,,
施工管理アプリ「匠」,LeadingWin Co.Ltd,Productivity,1.85714,49,0.0,2022-05-27,2026-06-30,施工管理技士,,,,,,,,,,,,,,,,,,
消防設備士 ４類,tadatoshi terakawa,Education,3.30612,49,600.0,2019-03-25,2022-09-07,消防設備士,,,,,,,,,,,,,,,,,,
果物学習カード : 英語学習,Ta Chang Song,Education,4.2449,49,0.0,2021-02-25,2025-05-30,フラッシュカード,,,,,,,,,,,,,,,,,,
実務教育出版の公務員過去問チャレンジ,"JITSUMUKYOIKU-SHUPPAN CO.,LTD.",Education,2.8125,48,0.0,2014-04-22,2015-02-09,公務員試験/資格 過去問,,,○,,,,,,,○,,,,,,,,
英検®準2級  資格試験対策問題｜D-Learning,Eriya Okuno,Reference,4.20833,48,0.0,2021-01-01,2021-07-25,資格 過去問,○,○,○,○,○,,,,,○,,,○,,,,,
柔道整復師のたまご(過去問),ryosukE soejimA,Education,4.625,48,0.0,2022-02-06,2022-02-06,過去問,○,○,,,,,,,,,,,,,,,,
ITクエスト | ITパスポートに合格できるアプリ,hashimoto ryouya,Education,3.60417,48,0.0,2023-10-23,2026-06-21,ITパスポート/基本情報技術者/応用情報技術者,○,○,,,○,○,,,,,,,,,,,○,
iパスのライト - 最短合格 ITパスポート対策アプリ,AddMeta LLC,Education,4.20833,48,0.0,2023-03-19,2026-07-19,ITパスポート,○,○,○,○,○,○,,,,,,,○,,,,,
画像de英単語 – イラスト・絵で覚える暗記帳,Satoshi Kawazoe,Education,4.5,48,0.0,2026-03-05,2026-07-01,単語帳,,,,,,,,,,,,,,,,,,
第2種電気工事士 筆記 一問一答問題集,Tokyo Interactive,Education,4.51064,47,1000.0,2015-03-03,2017-08-04,一問一答/施工管理技士/電気工事士/電験三種,,,○,○,,,,,,,,,,,,,,
Papo Town：消防署,Color Games Network Co.Ltd,Education,4.55319,47,0.0,2020-04-17,2024-01-04,消防設備士,,,,,,,,,,,,,,,,,,
TOEIC新东方托业990分核心词汇[听力单词融合记忆],"Dalian Maqu Internet Service Co., Ltd",Education,4.25532,47,150.0,2016-01-07,2025-08-14,TOEIC,,,,,,,,,,,,,,,,,,
全レベルTOEIC 英単語 ブラクストン,Ryota Kuroishi,Education,4.55319,47,0.0,2024-03-14,2025-06-01,TOEIC,○,○,,,,○,,,,,,,,,,,,
Học tiếng Nhật - Minder,Ghi Nguyen,Education,3.6383,47,0.0,2016-05-24,2018-07-22,TOEFL/TOEIC/フラッシュカード,,,,,,,,,,,,,,,,,,
英語 ヒアリング - アイエルツ トーフル,秀平 罗,Education,4.44681,47,0.0,2021-06-09,2024-09-15,TOEFL,○,,,,,,,,,,,,,,,,,
英語フラッシュカード,Bravolol Limited,Education,4.04255,47,0.0,2012-11-11,2020-10-11,TOEFL/フラッシュカード,,,,,,,,,,,,,○,,,,,
子供のための数学 (日本語),RV AppStudios LLC,Education,4.74468,47,0.0,2017-08-23,2026-07-29,数検,,,,,,,,,,,,,,,,,,
さくさくおぼえられる百人一首暗記帳,Yuya Fujiwara,Education,4.21277,47,0.0,2016-04-08,2016-04-08,暗記,,,,,,,,,,,,,,,,,,
電気工事士２種 過去問（解説投稿型）第二種電気工事士,"SOCIAL NOTE CO., LTD.",Education,4.19564,46,0.0,2024-09-03,2026-06-02,国家資格/電気工事士,,,,,,,,,,,,,○,,,,,
ビジネス実務法務検定 2級3級 問題集,shinichi kinuwaki,Education,4,46,0.0,2026-02-24,2026-07-07,ビジネス実務法務/検定,○,○,,○,,○,,,,,,,,,,,,
のりもの認識,"BABYBUS CO.,LTD",Education,3.76087,46,0.0,2015-12-03,2026-06-09,消防設備士,,,,,,,,,,,,,,,,,,
機械保全技能検定 2級 過去問集,"KIIRONOKAMO, K.K.",Education,3.86957,46,500.0,2024-09-22,2026-07-25,QC検定,○,○,,,,,,,,,,,,○,,,,
スタディバンク - 勉強して貯める学習記録アプリ,KAZUKI SHOJI,Education,4.69564,46,0.0,2025-09-04,2026-07-10,勉強タイマー/学習記録,,,,,,○,○,○,,,,,,,○,,,
FP 3級合格への【教科書×過去問×AI】アプリ-スマ学-,Unbalance Corporation,Education,4.22222,45,0.0,2022-05-29,2026-06-08,ファイナンシャルプランナー/資格 過去問/過去問,○,○,,,,,,,,,,,,,,,○,
診療放射線技師のたまご(過去問),ryosukE soejimA,Education,4.62222,45,0.0,2022-02-06,2022-11-05,過去問,○,○,,,,,,,,,,,,,,,,
データベーススペシャリスト｜スキマ時間で効率学習,Eriya Okuno,Education,4.11111,45,0.0,2020-11-18,2021-07-23,スキマ時間 学習/基本情報技術者/応用情報技術者,○,○,○,○,○,,,,,○,,,○,,,,,
第一種衛生管理者｜スキマ時間で効率学習,Eriya Okuno,Education,3.95556,45,0.0,2020-11-12,2020-11-13,スキマ時間 学習/衛生管理者,○,○,○,○,○,,,,,○,,,○,,,,,
Practice for TOEIC® Test Pro,Hung Nguyen,Education,4.51111,45,0.0,2016-01-14,2020-04-25,TOEIC,,,,,,,,,,,,,,,,,,
全レベルTOEFL 英単語 ブラクストン｜会話・英作文・多読,Ryota Kuroishi,Education,4.73332,45,0.0,2023-06-01,2026-04-23,TOEFL,○,○,,,,○,,,,,,,,,,,,
慣用句 !,Ohmori Takeru,Education,4.37777,45,0.0,2023-11-21,2025-12-19,漢字検定,,,,,,,,,,,,,,,,,,
時間記録 - 手入力で時間を記録するシンプル時間管理アプリ,Shibapp LLC,Productivity,4.55556,45,0.0,2024-03-26,2025-01-09,学習記録,,,,,,○,,,,,,,,,,,,
資格の選び方まとめ,AppRuns inc.,Education,4.22727,44,0.0,2016-11-28,2023-09-04,ITパスポート/ファイナンシャルプランナー/司法書士/宅建,,,,,○,,,,,,○,,,,,,,
一級建築士｜しっかり解説の資格試験問題集,Eriya Okuno,Education,4.25,44,0.0,2020-10-13,2020-10-14,建築士/施工管理技士/資格 過去問,○,○,○,○,○,○,,,,○,,,○,,,,,
ITパスポート合格対策 単語帳＋【用語・過去問・模擬試験】,MITSURU TAMAKI,Education,4.61364,44,0.0,2025-01-09,2025-04-12,ITパスポート/試験対策/過去問,○,,,○,○,,,○,,○,,,,,,,,
斑马百科,"Beijing Yuanli Science and Technology Co., Ltd.",Education,4.45455,44,0.0,2023-04-18,2026-07-21,消防設備士,,,,,,,,,,,,,,,,,,
My英単語帳 - 自分だけのシンプルな英単語帳アプリ,Kentaro Tsurumoto,Education,4.52273,44,0.0,2023-08-22,2026-07-11,単語帳/英検,,,,,,,,,,,,,,,,,,
宿題の答えがわかるアプリ - SolveThis AI,AlgoTwist Ltd,Education,4.45455,44,0.0,2024-12-10,2025-03-18,数検,,,○,,,,,,,,,,,,,,,
Nerd AI - AI家庭教師&数学,DEEP FLOW SOFTWARE SERVICES - FZCO,Education,4.45455,44,0.0,2023-07-20,2026-03-24,数検,,○,○,,,,,,,,,,,,,,,
介護福祉士｜しっかり解説の資格試験問題集,Eriya Okuno,Education,4.0465,43,0.0,2020-10-05,2020-10-05,介護福祉士/看護師 国家試験/資格/資格 過去問,○,○,○,○,○,○,,,,○,,,○,,,,,
保健師のたまご(過去問),ryosukE soejimA,Education,4.46512,43,0.0,2022-01-18,2022-03-07,看護師 国家試験/過去問,○,○,,,,,,,,,,,,,,,,
証券外務員一種の試験対策アプリ,YUZUKI SUDA,Education,3.69767,43,0.0,2021-04-25,2022-03-14,一問一答/証券外務員/試験対策,,○,,,○,,,,,,,,,,,,,
けあサポ ― 介護・福祉・看護・保育の応援アプリ,"CHUOHOKI PUBLISHING CO.,LTD.",Education,3.30233,43,0.0,2017-12-21,2026-06-01,ケアマネジャー/介護福祉士/保育士/看護師 国家試験,,,,,,,,,,○,,,,,,,○,
社会福祉士｜スキマ時間で効率学習,Eriya Okuno,Education,4.02325,43,0.0,2020-11-17,2020-11-17,スキマ時間 学習/介護福祉士/看護師 国家試験/社会福祉士,○,○,○,○,○,,,,,○,,,○,,,,,
おつよん,HIROKI HORIGUCHI,Education,4.16279,43,0.0,2022-09-24,2026-05-24,危険物取扱者,○,○,○,○,,,,,,,,,,,,,,
Taxi-Board（タクシーボード）｜タクシー売上管理,Taxi-Board Studio,Productivity,4.90698,43,0.0,2026-07-15,2026-07-28,運行管理者,,,,,,,○,,,,○,○,,,,,,
Trancy - AI語学アプリ,L2D LIMITED,Education,4.41859,43,0.0,2024-04-02,2026-05-18,TOEIC/英検,,,,,,,,,,,,,,,,,,
